Arrondissements,Hopitaux,metro,bus,rer,stationautolib,stattionvelib,etablissement,Prixmetrecarree
1,0,7,23,3,8,30,12,11420
1,0,7,23,3,8,30,12,11060
1,0,7,23,3,8,30,12,11410
1,0,7,23,3,8,30,12,10250
1,0,7,23,3,8,30,12,10860
1,0,7,23,3,8,30,12,10630
1,0,7,23,3,8,30,12,10390
1,0,7,23,3,8,30,12,11030
1,0,7,23,3,8,30,12,10500
1,0,7,23,3,8,30,12,9870
1,0,7,23,3,8,30,12,9910
1,0,7,23,3,8,30,12,10690
1,0,7,23,3,8,30,12,10060
1,0,7,23,3,8,30,12,10640
1,0,7,23,3,8,30,12,9820
1,0,7,23,3,8,30,12,10280
1,0,7,23,3,8,30,12,10130
1,0,7,23,3,8,30,12,9870
1,0,7,23,3,8,30,12,11130
1,0,7,23,3,8,30,12,10560
1,0,7,23,3,8,30,12,10860
1,0,7,23,3,8,30,12,10920
1,0,7,23,3,8,30,12,10700
1,0,7,23,3,8,30,12,10460
1,0,7,23,3,8,30,12,10860
1,0,7,23,3,8,30,12,10660
1,0,7,23,3,8,30,12,9930
1,0,7,23,3,0,30,12,9510
1,0,7,23,3,0,30,12,9300
1,0,7,23,3,0,30,12,8910
1,0,7,23,3,0,30,12,8540
1,0,7,23,3,0,30,12,8390
1,0,7,23,3,0,30,12,8030
1,0,7,23,3,0,30,12,7980
1,0,7,23,3,0,30,12,8560
1,0,7,23,3,0,30,12,7900
1,0,7,23,3,0,30,12,8860
1,0,7,23,3,0,30,12,8220
1,0,7,23,3,0,30,12,8790
1,0,7,23,3,0,30,12,8310
1,0,7,23,3,0,30,12,7950
1,0,7,23,3,0,30,12,7330
1,0,7,23,3,0,30,12,7090
1,0,7,23,3,0,0,12,6930
1,0,7,23,3,0,0,12,7180
1,0,7,23,3,0,0,12,6960
1,0,7,23,3,0,0,12,6700
1,0,7,23,3,0,0,12,6610
1,0,7,23,3,0,0,12,6170
1,0,7,23,3,0,0,12,6150
1,0,7,23,3,0,0,12,6030
1,0,7,23,3,0,0,12,6510
1,0,7,23,3,0,0,12,6090
1,0,7,23,3,0,0,12,5690
1,0,7,23,3,0,0,12,5610
1,0,7,23,3,0,0,12,5100
1,0,7,23,3,0,0,12,4700
1,0,7,23,3,0,0,12,4750
1,0,7,23,3,0,0,12,4860
1,0,7,23,3,0,0,12,5010
1,0,7,23,3,0,0,12,4710
1,0,7,23,3,0,0,12,4210
1,0,7,23,3,0,0,12,3720
1,0,7,23,3,0,0,12,3940
1,0,7,23,3,0,0,12,4150
1,0,7,23,3,0,0,12,3930
1,0,7,23,3,0,0,12,3780
2,1,5,18,0,11,24,12,10500
2,1,5,18,0,11,24,12,10080
2,1,5,18,0,11,24,12,9830
2,1,5,18,0,11,24,12,9630
2,1,5,18,0,11,24,12,9920
2,1,5,18,0,11,24,12,9230
2,1,5,18,0,11,24,12,9670
2,1,5,18,0,11,24,12,9290
2,1,5,18,0,11,24,12,9560
2,1,5,18,0,11,24,12,9610
2,1,5,18,0,11,24,12,9450
2,1,5,18,0,11,24,12,9380
2,1,5,18,0,11,24,12,9190
2,1,5,18,0,11,24,12,10000
2,1,5,18,0,11,24,12,9620
2,1,5,18,0,11,24,12,9460
2,1,5,18,0,11,24,12,9700
2,1,5,18,0,11,24,12,9570
2,1,5,18,0,11,24,12,9760
2,1,5,18,0,11,24,12,9800
2,1,5,18,0,11,24,12,9250
2,1,5,18,0,11,24,12,9760
2,1,5,18,0,11,24,12,9130
2,1,5,18,0,11,24,12,9600
2,1,5,18,0,11,24,12,9430
2,1,5,18,0,11,24,12,9240
2,1,5,18,0,11,24,12,8700
2,1,5,18,0,0,24,12,8290
2,1,5,18,0,0,24,12,8010
2,1,5,18,0,0,24,12,7150
2,1,5,18,0,0,24,12,7210
2,1,5,18,0,0,24,12,6780
2,1,5,18,0,0,24,12,7150
2,1,5,18,0,0,24,12,6910
2,1,5,18,0,0,24,12,7500
2,1,5,18,0,0,24,12,7450
2,1,5,18,0,0,24,12,7360
2,1,5,18,0,0,24,12,7410
2,1,5,18,0,0,24,12,7020
2,1,5,18,0,0,24,12,7120
2,1,5,18,0,0,24,12,6770
2,1,5,18,0,0,24,12,6600
2,1,5,18,0,0,24,12,6450
2,1,5,18,0,0,0,12,6620
2,1,5,18,0,0,0,12,6520
2,1,5,18,0,0,0,12,6130
2,1,5,18,0,0,0,12,6210
2,1,5,18,0,0,0,12,5740
2,1,5,18,0,0,0,12,5700
2,1,5,18,0,0,0,12,5560
2,1,5,18,0,0,0,12,5440
2,1,5,18,0,0,0,12,5240
2,1,5,18,0,0,0,12,4970
2,1,5,18,0,0,0,12,4720
2,1,5,18,0,0,0,12,4650
2,1,5,18,0,0,0,12,4610
2,1,5,18,0,0,0,12,4150
2,1,5,18,0,0,0,12,4320
2,1,5,18,0,0,0,12,4090
2,1,5,18,0,0,0,12,3840
2,1,5,18,0,0,0,12,3940
2,1,5,18,0,0,0,12,3390
2,1,5,18,0,0,0,12,3580
2,1,5,18,0,0,0,12,3440
2,1,5,18,0,0,0,12,3350
2,1,5,18,0,0,0,12,3200
2,1,5,18,0,0,0,12,3290
3,1,6,13,0,12,15,29,11180
3,1,6,13,0,12,15,29,10310
3,1,6,13,0,12,15,29,10490
3,1,6,13,0,12,15,29,10260
3,1,6,13,0,12,15,29,9740
3,1,6,13,0,12,15,29,9960
3,1,6,13,0,12,15,29,9610
3,1,6,13,0,12,15,29,9550
3,1,6,13,0,12,15,29,9820
3,1,6,13,0,12,15,29,9670
3,1,6,13,0,12,15,29,9690
3,1,6,13,0,12,15,29,9620
3,1,6,13,0,12,15,29,9850
3,1,6,13,0,12,15,29,9830
3,1,6,13,0,12,15,29,9960
3,1,6,13,0,12,15,29,9720
3,1,6,13,0,12,15,29,10220
3,1,6,13,0,12,15,29,10200
3,1,6,13,0,12,15,29,10340
3,1,6,13,0,12,15,29,10320
